title,author,publisher_url,pub_week,pub_day,pub_month,pub_daytime,language,language_id,sentiment,social_fb,social_tw,impact_score,topic_name,topic_name_en,topic_name_ua,page_url,is_today_utc,is_lastnewscycle_utc,is_last13weeks_utc,pubday_pages,pubday_annotations,is_main_topic,is_about_ukraine,is_biased_publisher,is_pro_putin,hq_city,hq_country,is_ukr_press,comments,editor
"Ukraine, rebels trade blame over shelling of central Donetsk",,news.yahoo.com,2015-29,2015-07-19,2015-07,19 Jul 15 05:05 UTC,en,1,neutral,2,12,14,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://news.yahoo.com/ukraine-rebels-trade-blame-over-shelling-central-donetsk-115656998.html,0,0,0,0,0,1,1,0,0,Sunnyvale,USA,0,,inna1025
"Ukraine, rebels trade blame over shelling of central Donetsk",,reuters.com,2015-29,2015-07-19,2015-07,19 Jul 15 05:07 UTC,en,1,neutral,64,1,65,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.reuters.com/article/2015/07/19/us-ukraine-crisis-violence-idUSKCN0PT0CH20150719?virtualBrandChannel=11563,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,boyaryntseva
"Russian FM Holds Talks With Ukraine, US, German Counterparts",,rferl.org,2015-29,2015-07-19,2015-07,19 Jul 15 05:11 UTC,en,1,neutral,10,23,33,Peace talks,Peace talks,Мирні переговори,http://www.rferl.org/content/russian-fm-ukraine-german-us-counterparts/27136521.html,0,0,0,0,0,1,1,0,0,Prague,Czech Republic,0,,nata.smyhora
Ukraine crisis: Shelling damages hospital in Donetsk,,bbc.com,2015-29,2015-07-19,2015-07,19 Jul 15 05:13 UTC,en,1,neutral,72,15,87,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.bbc.com/news/world-europe-33585489,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,nata.smyhora
Nations mark year since MH17 downing,,troyrecord.com,2015-29,2015-07-19,2015-07,19 Jul 15 05:13 UTC,en,1,neutral,0,2,2,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.troyrecord.com/general-news/20150719/nations-mark-year-since-mh17-downing,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,boyaryntseva
"Shelling in East Ukraine Kills Four Civilians, Soldier",,southcarolinasc.com,2015-29,2015-07-19,2015-07,19 Jul 15 05:33 UTC,en,1,neutral,0,1,1,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.southcarolinasc.com/2015/07/shelling-in-east-ukraine-kills-four-civilians-soldier/,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,boyaryntseva
Australian son of MH17 passenger files first legal claim against Malaysia,,straitstimes.com,2015-29,2015-07-19,2015-07,19 Jul 15 05:34 UTC,en,1,neutral,2,38,40,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.straitstimes.com/asia/australianz/australian-son-of-mh17-passenger-files-first-legal-claim-against-malaysia-airlines,0,0,0,0,0,1,1,0,0,Singapore,Singapore,0,,nata.smyhora
Black Tulip volunteers halt work recovering bodies of slain soldiers in eastern Ukraine,,kyivpost.com,2015-29,2015-07-19,2015-07,19 Jul 15 05:46 UTC,en,1,neutral,83,87,170,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.kyivpost.com/content/kyiv-post-plus/black-tulip-volunteers-halt-work-recovering-bodies-of-soldiers-in-eastern-ukraine-393810.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,inna1025
"Ukraine, Pro-Russian Rebels Trade Blame Over The Shelling Of Central Donetsk",,ibtimes.com,2015-29,2015-07-19,2015-07,19 Jul 15 05:47 UTC,en,1,neutral,0,2,2,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.ibtimes.com/ukraine-pro-russian-rebels-trade-blame-over-shelling-central-donetsk-2014878?rel=latest1,0,0,0,0,0,1,1,0,0,New York,USA,0,,nata.smyhora
"Ukraine, Pro-Russian Rebels Trade Blame Over The Shelling Of Central Donetsk",,ibtimes.com,2015-29,2015-07-19,2015-07,19 Jul 15 05:48 UTC,en,1,neutral,0,2,2,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.ibtimes.com/ukraine-pro-russian-rebels-trade-blame-over-shelling-central-donetsk-2014878,0,0,0,0,0,1,1,0,0,New York,USA,0,,nata.smyhora
Ukraine rebels say their small weapons pullback is ...,,news.yahoo.com,2015-29,2015-07-19,2015-07,19 Jul 15 05:51 UTC,en,1,neutral,2,29,31,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://news.yahoo.com/ukraine-rebels-small-weapons-pullback-beginning-125120833.html,0,0,0,0,0,1,1,0,0,Sunnyvale,USA,0,,nata.smyhora
Ukraine Rebels Say Their Small Weapons Pullback Is Beginning,,abcnews.go.com,2015-29,2015-07-19,2015-07,19 Jul 15 05:54 UTC,en,1,neutral,15,116,131,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://abcnews.go.com/International/wireStory/ukraine-rebels-small-weapons-pullback-beginning-32548060,0,0,0,0,0,1,1,0,0,New York,USA,0,,nata.smyhora
Ukraine Rebels Say Their Small Weapons Pullback Is Beginning,,nytimes.com,2015-29,2015-07-19,2015-07,19 Jul 15 06:03 UTC,en,1,neutral,12,47,59,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.nytimes.com/aponline/2015/07/19/world/europe/ap-eu-ukraine.html,0,0,0,0,0,1,1,0,0,New York,USA,0,,nata.smyhora
"3 killed, hospital shelled in Ukraine",,emirates247.com,2015-29,2015-07-19,2015-07,19 Jul 15 06:05 UTC,en,1,neutral,0,7,7,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.emirates247.com/news/world/3-killed-hospital-shelled-in-ukraine-2015-07-19-1.597288,0,0,0,0,0,1,1,0,0,Dubai,UAE,0,,boyaryntseva
Shelling of Ukraine city of Donetsk puts civilians at risk ...,,edition.cnn.com,2015-29,2015-07-19,2015-07,19 Jul 15 06:05 UTC,en,1,neutral,69,62,131,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://edition.cnn.com/2015/07/19/europe/ukraine-violence/index.html,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,nata.smyhora
